,headline,label,gpt_response
0,"Nordstrom (JWN) Q1 Loss Wider Than Expected, Sales Down Y/Y",positive,Negative
1,Looking for Dividend Growth? Here Are 5 Solid Picks,positive,Neutral
2,Kroger: Capital Preservation and More at a Good Price,negative,Neutral
3,"SpartanNash (SPTN) Q1 Earnings Surpass Estimates, Sales Up",negative,1)
4,"Abercrombie (ANF) Q1 Loss Wider Than Expected, Sales Fall Y/Y",negative,Negative
5,Dollar Tree (DLTR) Earnings & Sales Beat Estimates in Q1,negative,1)
6,"Dollar General (DG) Q1 Earnings Surpass Estimates, Rise Y/Y",negative,1)
7,Grubhub: A Merger Arbitrage Play,neutral,1)
8,Kroger Achieves New Zero Hunger | Zero Waste Milestones,positive,Neutral
9,Lowe's (LOW) Q1 Earnings Beat on Robust Actions Amid Pandemic,positive,1)
10,E-commerce War Heats Up With Facebook Shops: 4 Stocks to Buy,positive,Neutral
11,Kroger (KR) Stock Sinks As Market Gains: What You Should Know,negative,Neutral
12,World Capital Markets Jump on Vaccine Advance Monday,negative,positive
13,Digital Sales to Play Key Role in Target's (TGT) Q1 Earnings,negative,Neutral
14,Here's How Best Buy (BBY) is Poised Ahead of Q1 Earnings,negative,1)
15,What's in the Offing for Ross Stores (ROST) in Q1 Earnings?,negative,neutral
16,5 Great Dividend Growth Stocks for Income and Safety,negative,neutral
17,L Brands (LB) to Post Q1 Earnings: What Awaits the Stock?,negative,Neutral
18,"Kroger Announces $–'… Million Thank You Pay for Associates, Continues Paid Emergency Leave",negative,positive
19,Big Tech On The Ropes?,negative,Neutral
20,"Franklin Street Capital Partners, LLC Buys Walmart Inc, The Kroger Co, Electronic Arts Inc, ...",negative,Neutral
21,"The Kroger Family of Companies Provides New Career Opportunities to –……,……… Workers",negative,1)
22,Dow Jones Falls Over 5…… Points on Wednesday,positive,Negative
23,Walmart (WMT) Continues to Reward Workers Amid Coronavirus,positive,Positive
24,"Winton Capital Group Ltd Buys Citrix Systems Inc, Old Dominion Freight Lines Inc, The Kroger Co",neutral,1)
25,"Martingale Asset Management L P Buys Aon PLC, Equinix Inc, Humana Inc, Sells Phillips 66, Aon ...",neutral,Neutral
26,"5 Firms Going Ex-Dividend Next Week, Including Kroger And Amgen",positive,Neutral
27,Guess Which Stocks Warren Buffett Bought: –st-Quarter Contest,positive,Neutral
28,3 Stocks Tapping the Potential of Pickup and Delivery Trends,positive,Neutral
29,Jeff Auxier Comments on Kroger,negative,neutral
30,Jeff Auxier's Auxier Asset Management Spring —…—… Market Commentary,negative,Neutral
31,Shivdeep Dhaliwal,positive,Neutral
32,Wendy's Locations Run Out Of Beef As COVID-19 Forces Meatpacking Plant Closures,positive,Negative
33,Factors Shaping Up Central Garden & Pet's (CENT) Q2 Earnings,negative,Neutral
34,"Osborn Rohs Williams & Donohoe Ltd Buys Nestle SA, The Kroger Co, International Business ...",negative,neutral
35,Kroger Family of Companies to Provide Free COVID-–9 Testing for Frontline Associates,negative,Neutral
36,Likely Coronavirus Impact on Rent-A-Center's (RCII) Q1 Earnings,negative,Neutral
37,"CWH Capital Management, Inc. Buys Lyft Inc, The Kroger Co, Boeing Co, Sells SPDR Index Shares ...",positive,Neutral
38,Dow Jones Tumbles 6…… Points on Friday,positive,negative
39,"Zacks.com featured highlights include: Strategic Education, Lockheed Martin, Bristol-Myers Squibb, Dollar General and The Kroger",neutral,neutral
40,Kroger Launches Expanded Dairy Rescue Program to Support Children and Families During COVID-–9,neutral,positive
41,"Harris Teeter announces COVID-–9 relief efforts exceeding $6……,………",negative,Neutral
42,Solid Rally Kicks Off Tech Week,neutral,1)
43,Kroger Health Expands Free Drive-Thru COVID-–9 Testing to –— States,neutral,1)
44,"Is Kroger (KR) a Solid Growth Stock? 3 Reasons to Think "" Yes """,neutral,Neutral
45,KR vs. WMT: Which Stock Is the Better Value Option?,neutral,Neutral
46,Is The Kroger (KR) Outperforming Other Retail-Wholesale Stocks This Year?,neutral,Neutral
47,Coronavirus Hits Retailers: 4 Stocks Still Worth a Shot,neutral,neutral
