,headline,url,date,stock,website_name,article_body
1921,Qualcomm and Broadcom would dominate wireless business,http://www.foxbusiness.com/markets/2017/11/06/qualcomm-and-broadcom-would-dominate-wireless-business.html?cmpid=prn_benz,2017-11-06,AVGO,foxbusiness,"VideoThere are plenty of potential benefits for both Qualcomm (NASDAQ:QCOM) and Broadcom (NASDAQ:AVGO) should the two tech giants merge, including cost synergies and a conclusion of Qualcomm’s legal disputes with Apple (NASDAQ:AAPL). However, Qualcomm will likely reject Broadcom’s bid as “too low,” and opt to remain an independent company. When it comes to the companies’ sector competitors, they are probably hoping this deal completely falls apart.On Monday, Broadcom officially launched a takeover offer for Qualcomm for $70 per share, which values the company at about $103 billion. According to Reuters, this would be the biggest technology acquisition ever.As a unit, the two companies would benefit from cost synergies, according to Canaccord Genuity, while the bank’s analysts also expect Qualcomm will reject this initial offer.“We believe the combination could create shareholder value through potential accretion, synergies, increased share with Apple and Samsung; in addition, Broadcom could potentially settle the licensing dispute with Apple in a more-timely manner than could Qualcomm, given Broadcom’s strong relationship with Apple,” Canaccord Genuity analysts wrote in a note to clients.They added that a combination of the two companies would create a dominant wireless business and overall powerful global semiconductor leader.While Qualcomm and Broadcom stand to benefit, it would increase competition for other semiconductor companies, notes Canaccord Genuity. Companies that could be negatively impacted include Intel (NASDAQ:INTL), NXP Semiconductor (NASDAQ:NXPI), Qorvo (NASDAQ:OORVO), Skyworks (NASDAQ:SWKS) and CEVA (NASDAQ:CEVA).More from FOX BusinessWall Street climbs to record highs amid merger talkTax reform implementation is path to 5% US economic growth: Tony SayeghDudley cuts New York Fed leadership term short, forcing search for perfect chiefBroadcom's $70-per-share offer is at a premium to Qualcomm's closing price of $54.84 on Thursday, a day before media reports of a potential deal pushed up the company's shares. The stock soared Friday, closing at $61.81 after The Wall Street Journal reported that Broadcom was considering a bid.Broadcom’s shares are up about 53% year-to-date. Qualcomm’s shares are down over 3%, even after posting large advances on the speculation, and eventual reality of the takeover offer. Qualcomm’s share value has taken a hit from the legal battle with Apple. In its notes on the merger, Canaccord Genuity analysts believe Qualcomm’s shares have traded well below fair value."
3857,Buffett's American Express Profiting From Platinum Card: CEO Ken Chenault,http://www.foxbusiness.com/features/2017/05/06/buffetts-american-express-profiting-from-platinum-card-ceo-ken-chenault.html?cmpid=prn_benz,2017-05-06,AXP,foxbusiness,"VideoAmerican Express (NYSE:AXP) CEO Ken Chenault said Saturday he would like to see more growth in the economy.“At the end of the day we feel good about our performance because we have a very diversified business platform,” Chenault told FOX Business’ Liz Claman at the annual Berkshire Hathaway (NYSE:BRK.A) shareholder meeting in Omaha, Neb. “Most of the growth is really being generated by the actions that we’re taking in the marketplace.”The Amex CEO said the company’s first quarter was “very, very good” and is optimistic about the momentum the business is building.According to Chenault, the company has also seen success with its Platinum card, a premium travel reward credit card with an annual fee of $550. Users of Platinum are able to receive $200 in annual Uber credits, a $200 airline fee credit and 5X Membership Rewards points on flights and eligible hotels booked directly with airlines or with American Express Travel.“2016 was the best year in the history of Platinum, in terms of both cards and spend. So we feel very good about the Platinum,” he said."
3858,Buffett & American Express Profiting From Platinum Card: CEO Ken Chenault,http://www.foxbusiness.com/features/2017/05/06/buffett-american-express-profiting-from-platinum-card-ceo-ken-chenault.html?cmpid=prn_benz,2017-05-06,AXP,foxbusiness,"VideoAmerican Express (NYSE:AXP) CEO Ken Chenault said Saturday he would like to see more growth in the economy.“At the end of the day we feel good about our performance because we have a very diversified business platform,” Chenault told FOX Business’ Liz Claman at the annual Berkshire Hathaway (NYSE:BRK.A) shareholder meeting in Omaha, Neb. “Most of the growth is really being generated by the actions that we’re taking in the marketplace.”The Amex CEO said the company’s first quarter was “very, very good” and is optimistic about the momentum the business is building.According to Chenault, the company has also seen success with its Platinum card, a premium travel reward credit card with an annual fee of $550. Users of Platinum are able to receive $200 in annual Uber credits, a $200 airline fee credit and 5X Membership Rewards points on flights and eligible hotels booked directly with airlines or with American Express Travel.“2016 was the best year in the history of Platinum, in terms of both cards and spend. So we feel very good about the Platinum,” he said."
5744,Merck Snags Baxter Executive As CFO,http://www.foxbusiness.com/industries/2014/03/27/merck-appoints-former-baxter-executive-as-cfo/,2014-03-27,BAX,foxbusiness,
5745,Baxter to Split Itself into Two Companies,http://www.foxbusiness.com/industries/2014/03/27/baxter-to-split-itself-into-two-companies/,2014-03-27,BAX,foxbusiness,
9599,Leaked Documents Show Uber's Cost Structure,http://www.foxbusiness.com/industries/2015/08/28/leaked-documents-show-ubers-cost-structure-best-performing-cities/,2015-08-28,BLK,foxbusiness,
9633,"U.S. Equity Futures Flat Ahead of Yellen, Earnings",http://www.foxbusiness.com/markets/2015/07/15/us-equity-futures-higher-ahead-yellen-earnings/,2015-07-15,BLK,foxbusiness,
9661,Wall Street Execs Take Aim at O'Malley Campaign Hypocrisy,http://www.foxbusiness.com/business-leaders/2015/06/03/wall-street-execs-take-aim-at-omalley-campaign-hypocrisy/,2015-06-03,BLK,foxbusiness,
9666,Activist : Long-Term Reformers or Corporate Raiders,http://www.foxbusiness.com/business-leaders/2015/05/29/long-term-reformers-or-corporate-raiders-today-activist-investors/,2015-06-01,BLK,foxbusiness,
9690,Mary Pat Christie Has Quit Her Wall Street Job,http://www.foxbusiness.com/business-leaders/2015/04/24/mary-pat-christie-has-quit-her-job-on-wall-street/,2015-04-24,BLK,foxbusiness,
