,headline,url,date,stock,website_name,article_body
9561,Weekly Wrap-Up Market Forecast Sector Watch SPX Nasdaq FAS BTK SOXX FDN,http://marketfy.com/product/ecstatic-plays/blog/891/view/95028/,2015-10-19,BLK,marketfy,"Markets finally had a strong week last week.  Things popped higher on Monday, as SPX closed just under 1990.  Tuesday and Wednesday saw some struggles with the direction as the trading range narrowed.  However, Thursday's Fed Minutes gave buyers reasons to push markets higher.  Friday was a flat with small gains.  SPX managed to close near 2015.We also had a nice week with most of our trades in the ""plus"" column!  Our calls on GLD yielded profits as high as +59%.  Our stock trades on JUNO and PTCT were quite nice as well!  Here are the closed trades for the week:To subscribe or to find out more about this product, pleaseCLICK HERE. Come see whatEcstatic Playsoffers and what we are trading next!For the week, theDowwas up +612.12 points;SPXadded +63.53 points;Nasdaqgained +122.69 points.  Gold advanced last week, closing above $1155/ounce.  Old also jumped, with WTI trading near $50/barrel!  At the time of this writing, Asian markets were mostly up.  Here are how the US markets looked after Friday's close:SPXOn Friday, SPX added +1.46 points to close at 2014.89.  Its daily MAs and MACD went up.NasdaqNasdaq gained +19.68 points to close at 4830.47.  Its daily MAs and MACD also went higher.Both SPX and Nasdaq managed to stay above their respective daily MAs.  The recent strength in energy stocks has helped SPX; on the other hand, the weakenss in biotechs have held back Nasdaq.  What's also interesting is that after the recent pulled back, it seems that more money shifted into the blue-chip stocks, as the Dow has been very strong:The Dow (DJI)Last week, the Dow managed to close above 17,000, and it is up +11.2% from its recent low, much higher than the small-caps (Russel 2000), which is up only about +8% from the lows!For the new week, earnings season is kicking in.  We start off with the financials this week.  Here are some notable earnings:Monday: (AM)  INFYTuesday:  (AM)  JNJ, ASML; (PM) JPM, INTC, CSXWednesday:  (AM) BAC, DAL, WFC, BLK, PNC; (PM) NFLX, XLNXThursday:  (AM) BX, C, GS, UNH, USB, TSM; (PM) MAT, SLBFriday: (AM) GE, HON, KSU, STIBesides the financials, we have INTC, ASML, and XLNX representing the seminconductors.  It will be interesting to hear from SLB on Thursday to see how the recent low oil prices have affected the industry.  KSU on Friday will allow us to get a peak from the rails.  GE and HON can give us addition information on how the US economy is doing as a whole.On the up-side, SPX's nearest resistance is at 2040.  On the down-side, SPX has support at 2000 to 1990; and, then 1975.Sector WatchFAS(financials)FAS slid on Friday, but, the whole week was still positive.  We have JPM reporting on Tuesday afternoon, followed by BAC, WFC, BLK, and PNC on Wednesday morning.  GX, C, and GS will report on Thursday morning.  Most banks look neutral going into earnings.BTK(biotech)The biotech has been among the weakest sectors.  If it turns higher, it will certainly help fuel the recent bounce in the broader market.  BIIB was weak on Friday, as it announced the departure of its VP of Global Commercial Operations.  AMGN seems to be gathering some buyers.  REGN and VRX also bounced on Friday.SOXX(semiconductor)SOXX also slid on Friday.  ASML is reporting on Tuesday morning; INTC follows in the afternoon.  XLNX also reports on Wednesday afternoon.  Although the sector has been doing well.  The darlings in AAPL's ecosystem have not, namely CRUS, SWKS, NXPI, BRCM and AVGO.  So, it will be interesting to see how this sub-group do in the coming week.FDN(internet)FDN crept higher along with the broader market last week.  NFLX is report on Wednesday after market.  NFLXjust announced an increase of $1 of its standard membership plan from $8.99 to $9.99, which could be an indicator of confidence and comfort with is subscriber addition in the past quarter.  TWTR finally turned the corner last week as it has chosen a new CEO.  YELP had also turned bullish.  LNKD still appears a bit undecided.Good night andHappyTrading! ™"
9574,Weekly Wrap-Up Market Forecast Sector Watch SPX Nasdaq FAS BTK SOXX FDN GS BAC WFC JPM BLK INTC ASML XLNX NXPI AVGO SWKS CRUS BRCM REGN VRX AMGN BIIB NFLX TWTR LNKD YELP,http://marketfy.com/product/ecstatic-plays/blog/891/view/95029/,2015-10-12,BLK,marketfy,"Markets finally had a strong week last week. Things popped higher on Monday, as SPX closed just under 1990. Tuesday and Wednesday saw some struggles with the direction as the trading range narrowed. However, Thursday's Fed Minutes gave buyers reasons to push markets higher. Friday was a flat with small gains. SPX managed to close near 2015.We also had a nice week with most of our trades in the ""plus"" column! Our calls on GLD yielded profits as high as +59%. Our stock trades on JUNO and PTCT were quite nice as well! Here are the closed trades for the week:To subscribe or to find out more about this product, pleaseCLICK HERE. Come see whatEcstatic Playsoffers and what we are trading next!For the week, theDowwas up +612.12 points;SPXadded +63.53 points;Nasdaqgained +122.69 points. Gold advanced last week, closing above $1155/ounce. Old also jumped, with WTI trading near $50/barrel! At the time of this writing, Asian markets were mostly up. Here are how the US markets looked after Friday's close:SPXOn Friday, SPX added +1.46 points to close at 2014.89. Its daily MAs and MACD went up.NasdaqNasdaq gained +19.68 points to close at 4830.47. Its daily MAs and MACD also went higher.Both SPX and Nasdaq managed to stay above their respective daily MAs. The recent strength in energy stocks has helped SPX; on the other hand, the weakenss in biotechs have held back Nasdaq. What's also interesting is that after the recent pulled back, it seems that more money shifted into the blue-chip stocks, as the Dow has been very strong:The Dow (DJI)Last week, the Dow managed to close above 17,000, and it is up +11.2% from its recent low, much higher than the small-caps (Russel 2000), which is up only about +8% from the lows!For the new week...If you'd like to read the rest of the articles, please subscribe to my Ecstatic Plays product (Click Here). Ecstatic Plays portfolio also started trading stocks, in addition to options. PleaseClick Hereto see more details."
9623,Weekly Wrap-Up Market Forecast Sector Watch SPX Nasdaq FAS XRT SOXX FDN,http://marketfy.com/product/ecstatic-plays/blog/891/view/87066/,2015-07-20,BLK,marketfy,"Last week, Markets started on the week side.  As I have noted before, there is resistance at 2080, and support between SPX 2060 and 2040.  On Tuesday, SPX touched 2044 and bounced back.  It was then a volatile, but range-bound market.  Stocks sold off on Wednesday again.  On Thursday morning, there was buying in the morning, but it faded towards the close.  Things looked better on Friday, as Greece submitted a new proposal for the bailout.  Still, SPX was not able to push above 2080.Since the market was swinging back-and-forth, we did not trade as much.  Here are the closed trades for the week:The Ecstatic Plays portfolio is still up over +200% in the past 365 days and up +35% for 2015.  To subscribe or to find out more about this product, pleaseCLICK HERE. Come see whatEcstatic Playsoffers and what we are trading next!Tonight, at the time of this writing, there wasa ""compromise proposal"" to be further discussed among the EU leaders.  It is early in the morning in Europe.  We will have to see if the negotiations can make further progress.For the week, theDowwas up +30.3 points;SPXwas essentially unchanged;Nasdaqslipped 11.51 points.  Gold slid, but, remained around $1160/ounce.  Oil (WTI) fell to about $52/barrel.  Let's see where the US markets stood after Friday's close:SPXOn Friday, SPX added +25.31 points to close at 2076.62.  It closed above its 10-day MA.  The MACD moved up.NasdaqNasdaq gained +75.3 points to close at 4997.7.Both SPX and Nasdaq experienced a good bounce on Friday, closing above their respective 10-day MAs.  It will be a busy week next week, not only because of Greece, but, Fed watch and China's GDP should be in focus on Wednesday.  In addition, earnings season will kick into gear.  For the new week, we will have to see how much progress will the bailout talks make overnight to get a sense of how investors will react to begin the week.  By Tuesday, some attention should be shifted towards earnings.   Here are some notable earnings for the week:Tuesday (AM)  JPM, WFC, JNJ, FAST;  (PM) CSX, YUMWednesday (AM)  BAC, DAL, PNC, BLK, USB;  (PM)  NFLX, INTCThursday  (AM)  EBAY, GS, C, UNH, SHW, PPG;  (PM)  GOOGFriday  (AM) GE, HON, STIOn the support side, we will still be watching 2060-2040 for SPX.  If the market looks past Greek issues and pushes above 2080, the first resistance will be 2100.Banks are kicking off the earnings season this time, so, financials will be very important.  Internet heavyweights will keep the sector in focus.  Semiconductors have been really weak, so, we'll keep an eye on those.Sector WatchFAS(financial)FAS managed to close above its 10-day MA.  JPM and WFC will give us the first clues on Tuesday.  Several banks, including BAC, will report on Wednesday, followed by GS and C on Thursday.XRT(retail)XRT is surprisingly strong, closing above its daily MAs for the week.  YUM reports on Tuesday afternoon.  COST had a nice week last week and should continue to be strong.  MNST may be setting up for a breakout is the broader market continues to bounce.FDN(internet)FDN closed right at its 30-day MA.  NFLX's earnings on Wednesday should be interesting once again; but, its options may be too expensive to play.  EBAY and GOOG are more palpable, as the options are more reasonable.  We will take a closer look during the week.SOXX(semiconductor)SOXX has been really weak, falling for 3 weeks straight!  BRCM, SWKS, AVGO have all fallen back.  Let's see if these can bounce up from last week's lows.Energy stocks may continue to be weak, as Iran is close to reaching a nuclear deal, which could lift its embargo and in turn place more oil supply on the market.  We will keep an eye on the energy stocks as well.  It will be interesting to see if the solar stocks finally decouples from the oil stocks.Good night andHappyTrading! ™"
9641,Weekly Wrap-Up Market Forecast Sector Watch SPX Nasdaq FAS XRT SOXX FDN GS BAC WFC JPM GOOG GOOGL INTC EBAY NFLX AVGO BRCM SWKS COST YUM,http://marketfy.com/product/ecstatic-plays/blog/891/view/87068/,2015-07-13,BLK,marketfy,"Last week, Markets started on the week side. As I have noted before, there is resistance at 2080, and support between SPX 2060 and 2040. On Tuesday, SPX touched 2044 and bounced back. It was then a volatile, but range-bound market. Stocks sold off on Wednesday again. On Thursday morning, there was buying in the morning, but it faded towards the close. Things looked better on Friday, as Greece submitted a new proposal for the bailout. Still, SPX was not able to push above 2080.Since the market was swinging back-and-forth, we did not trade as much. Here are the closed trades for the week:The Ecstatic Plays portfolio is still up over +200% in the past 365 days and up +35% for 2015. To subscribe or to find out more about this product, pleaseCLICK HERE. Come see whatEcstatic Playsoffers and what we are trading next!Tonight, at the time of this writing, there wasa ""compromise proposal"" to be further discussed among the EU leaders. It is early in the morning in Europe. We will have to see if the negotiations can make further progress.For the week, theDowwas up +30.3 points;SPXwas essentially unchanged;Nasdaqslipped 11.51 points. Gold slid, but, remained around $1160/ounce. Oil (WTI) fell to about $52/barrel. Let's see where the US markets stood after Friday's close:SPXOn Friday, SPX added +25.31 points to close at 2076.62. It closed above its 10-day MA. The MACD moved up.NasdaqNasdaq gained +75.3 points to close at 4997.7. Both SPX and Nasdaq experienced a good bounce on Friday, closing above their respective 10-day MAs. It will be a busy week next week, not only because of Greece, but, Fed watch and China's GDP should be in focus on Wednesday. In addition, earnings season will kick into gear. For the new week..If you'd like to read the rest of the articles, please subscribe to my Ecstatic Plays product (Click Here)."
9700,Weekly Wrap-Up Market Forecast Sector Watch SPX Nasdaq FAS GLD FDN XME,http://marketfy.com/product/ecstatic-plays/blog/891/view/78838/,2015-04-20,BLK,marketfy,"Markets had a strong week last week.  Stocks rallied higher on Monday, but, faltered and traded in a tight range until Thursday afternoon.  Surprisingly, they pushed higher on Friday for a strong weekly close.We made some nice trades this week and myEcstatic Playsportfolio value made a new all-time high!Our CHL calls made a+127%profit and TSLA calls garnered+112.6%gain.  Here are the closed trades for the week:For the week, theDowwas up +294.41 points;SPXadded +35.1 points;Nasdaqgained +109.04 points.  Gold got a good pop on Monday and ended the week up, trading above $1200/ounce.  Oil (WTI) also bounced, closing above $51/barrel.  Let's at a look at the US markets:SPXOn Friday, SPX added +10.88 points to close at 2102.06.  It closed above its daily MAs.  Its MACD went up.NasdaqNasdaq gained +21.41 points to close at 4995.98.  Its daily MAs and MACD turned up.Both indices made advances for the week.  They are now, once again, at the top end of the trading range since February.  For the new week, earnings seasons kicks into full gear.  Many of the financials are reporting.  INTC will report on Tuesday after the market.  NFLX on Wednesday should be interesting.  Gold has turned bullish, but, may be too volatile to trade.  Metals and mining, interestingly enough, are setting up a bottom.GLD(gold)GLD closed at near $116 for the week.  It has now turned bullish.  Breakout point is above $117-$118.FAS(financial)FAS is looking neutral.  JPM and WFC are reporting on Tuesday morning.  These could set the tone for the earnings season.  BAC and PNC follow on Wednesday morning.  BLK, GS, and C report on Thursday morning (Why do the banks report in the morning??).XME(metals and mining)XME looks like its about to bounce off of the bottom.  STLD report on Wednesday afternoon.  X and NUE are setting up for breakouts.FDN(internet)FDN was strong last week.  But, it remains to be seem whether this group can break out.  NFLX earnings will be highly anticipated on Wednesday.  But, options are expensive.  GOOG has been lagging.  AMZN is re-testing its all-time high.  LNKD just broke out last week.  TWTR and FB are breathing.Let's be patient and see how JPM and WFC report on Tuesday.  This market has been flirting with the top of this trading range for a while now.  It's difficult to say if it's got enough fuel to escape from the gravity of this trading range.Good night andHappyTrading! ™"
9722,Weekly Wrap-Up Market Forecast Sector Watch SPX Nasdaq FAS GLD FDN XME WFC JPM GS BLK C PNC INTC ASML STLD NFLX,http://marketfy.com/product/ecstatic-plays/blog/891/view/78839/,2015-04-13,BLK,marketfy,"Markets had a strong week last week.  Stocks rallied higher on  Monday, but, faltered and traded in a tight range until Thursday  afternoon.  Surprisingly, they pushed higher on Friday for a strong  weekly close.We made some nice trades this week and myEcstatic Playsportfolio value made a new all-time high!Our CHL calls made a+127%profit and TSLA calls garnered+112.6%gain.  Here are the closed trades for the week:For the week, theDowwas up +294.41 points;SPXadded +35.1 points;Nasdaqgained +109.04 points.  Gold got a good pop on Monday and ended the  week up, trading above $1200/ounce.  Oil (WTI) also bounced, closing  above $51/barrel.  Let's at a look at the US markets:SPXOn Friday, SPX added +10.88 points to close at 2102.06.  It closed above its daily MAs.  Its MACD went up.NasdaqNasdaq gained +21.41 points to close at 4995.98.  Its daily MAs and MACD turned up.Both  indices made advances for the week.  They are now, once again, at the  top end of the trading range since February.  For the new week...If you'd like to read the rest of the articles, please subscribe to my Ecstatic Plays product (Click Here)."
9723,Weekly Wrap-Up Market Forecast Sector Watch SPX Nasdaq FAS BTK FXI HGX GS BLK STI BIDU QIHU BABA TOL KBH WHR LEN EOG APA APC CVX SLB,http://marketfy.com/product/ecstatic-plays/blog/891/view/76960/,2015-04-09,BLK,marketfy,"The market had a tremendous week, with Nasdaq closing above 5,000!   Stocks jumped on Wednesday, after the Fed promised to ""not be impatient""  in raising rates, even though it took out the words ""patient"" in its  latest statement.  SPX is back above 2100 and the Dow is above 18,000.We also had a nice week.  In both of my products' portfolios, we made nice trades.  Here are the closed trades for ""Ecstatic Plays"":Our plays on QIHU, BIDU, MYL, and GS calls did very well.For my ""Happy Trades"" portfolio, we scored on CRM, SNDK, QIHU, JAZZ, KITE, and MYL calls:For the week, theDowwas up +378.34 points;SPXadded +54.72 points;Nasdaqgained +154.66 points.  Oil was basically flat, closing at  $46.5/barrel.  Gold bounced higher, nearly $1185/ounce.  At the time of  this writing, Asian markets were mostly higher.  Let's see where the US  markets closed on Friday:SPXOn Friday, SPX added +18.83 points to close at 2108.1.  Its 10-day MA turend up and so did its MACD.NasdaqNasdaq gained +34.04 points to close at 5026.42.  Its daily MAs and MACD moved higher.Both  SPX and Nasdaq closed strongly last week.  What's interesting is that  RUT (Small Caps), or Russell 2000, is even stronger.  SPX and the Dow  still look neutral.  For the new week...If you'd like to read the rest of the articles, please subscribe to my Ecstatic Plays product (Click Here)."
9807,Central Bankers The Movie - December 23 2014,http://marketfy.com/product/cup-handle-macro-research/blog/1167/view/67769/,2014-12-23,BLK,marketfy,"Click Here for this Week's Full Letter - December 23, 2014Greetings,Over the next five years, film studios are scheduled to release 26 “comic-book” movies. At some point studios will run out of characters, and when they do, I think they should launch a new team of superheroes called “The Central Bankers.” Sent from planet Academia, The Central Bankers are here to protect financial markets from the ferocious Bears. The opening scene could be Janet Yellen’s press conference from last Wednesday.All jokes aside, it’s remarkable how addicted asset prices have become to monetary stimulus. According to Bank of America,83% of world equity market capitalization is supported by 0% interest rate policy. The US stock market had its best two-day rally since 2011 after the FOMC press conference, finishing +4.5% higher. In my opinion, it wasn’t so much that stocks rallied, rather the market simply cooled-off leading up to the press conference fearing Yellen would put a timetable on rate hikes. Once the Fed confirmed it was willing to be “patient,” stocks resumed their record-setting rally.The S&P 500 continues to look bullet-proof, but other regions are struggling mightily:In Germany, Europe’s economic powerhouse, 5-year inflation breakevens have fallen below zero – pricing in outright deflation. Greece, Europe’s problem-child, failed to elect a President in their first round of voting last week. Early electionswith the potential to destabilize the Eurozonewill be called in January.It’s the same story in Asia. December Manufacturing PMI in China fell below 50 for the first time since June – signaling a contraction. Australia, which was also hit by a lone-wolf terrorist attack last week, saw 3rdquarter GDP grow a measly 2.7% Y/Y, compared to economist expectations of 3.1%.And then there’s Russia. While the developed world is desperately trying to combat deflation, Russia’s currency crisis will likely push CPI into double-digits early next year, despite a 6.5% rate hike last week.Food inflation is already a major problem, and there are fears of a nationwide food shortage. More on Russia below…My Marketfy portfolio rallied ~3% last week. Very disappointing results, in my opinion. I had the Mon-Tues selloff followed by a Wed-Thurs rally called perfectly, but poor position sizing negated most of the gains. Frustrating, but it’s hard to cry about profits. We’ll get ‘em next time. Now that most December catalysts have passed, I expect the market to quiet down into year end.  My December Investment Letter went out yesterday and it’s a very high-conviction bet –if you’d like to start receiving these letters click here. It’s $8.25/month, which would buy you more than 2 bushels of corn. Except that corn won’t improve your portfolio’s returns.Today’s letter will cover several topics, including:Houston, You Have a ProblemSaudi’s Get SlammedRussian Commie’sChart of the WeekWith that, I give you this week's letter:December 23, 2014As always, if you have any questions or comments or just want to vent, please send me an email atmike@cup-handle.com.Until next time, tread lightly out there,Michael LingenheldManaging Editor – Cup & Handle Macro"
11335,Daily Trade Recommendations EBS - BSX - TBPH,http://marketfy.com/product/360-virtual-advisor/blog/1232/view/105881/,2016-04-05,BSX,marketfy,
11398,Quick Post MicroCaps The Market and Conviction,http://marketfy.com/product/secret-caps/blog/1184/view/91425/,2015-08-26,BSX,marketfy,"What a crazy week on the SPY and for MicroCaps: There is a key lesson we can take out of this week for successful microcap investing that is worth sharing.Monday morning you didn't see me selling, emailing, or reacting to mainstream media. If I had the available cash I would have been a net buyer as I stated in my updates earlier this week.Mainstream media (CNBC, Bloomberg) even Twitter and Social Media at points can seriously affect our drive and focus as investors. Does a 1000 point overreaction or even worthy drop on the DOW change the thesis of our several MicroCap investments, not a chance.MicroCaps with little institutional ownership are not affected by Wall St, since the latter cant sell what they don't own. Granted, some do swing if retail or holders do sell, but this offers generous opportunities for MicroCap investors.I made it a point not to sell or trade on Monday - since I want my members to focus more on my research and make their own decisions.I have not watched mainstream media in 3 years, and there is value in not watching it.1)Everything on Mainstream media is old news to the MicroCap investor who is researching2)Usually its an over or under reaction, and holds little value3)Usually emotional and not quantitative4)Detracts from research and can lead you to sell positions whose thesis' has not changed.5)Leads to group think instead of self-thinkHold your convictions and stick to your plan. Always remember that a change in price is not a change in the story, but the former can offer a serious buying opportunity.On days like Monday, either buy or hit the beach in my opinion. Both are safer bets most of the time than sweating at your desk.Focus on finding the best MicroCaps before anyone else does and energize your MicroCap investing strategy by taking advantage of days like Monday where the world goes crazy. Micro and Nano-cap investing is very far from mainstream investing due to size and coverage, so take advantage of being far from Wall St (for now)This is just a short-and-sweet post to reflect on this week. Members, please post your comments on ourlatest reporton AcuityAds, and ourrecorded CEO interview here.I am interested on whether you liked this shorter blog post, or our research reports better (example, SMTP).Non-members can enter our 14-day FREE membership lotteryhereBack to researching,Tom"
